Optimizing CatBoost...
[32m[I 2024-10-13 00:51:08,160][0m Trial 54 finished with value: 49868.21813475209 and parameters: {'depth': 7, 'learning_rate': 0.021878646396870562, 'iterations': 1289, 'l2_leaf_reg': 9.129266902212642e-06, 'border_count': 114, 'bagging_temperature': 0.8083920647370405, 'random_strength': 3.4292287207432115, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 810}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:51:30,688][0m Trial 55 finished with value: 54624.643329946244 and parameters: {'depth': 9, 'learning_rate': 0.006692444724966574, 'iterations': 2262, 'l2_leaf_reg': 1.628609631520993e-07, 'border_count': 74, 'bagging_temperature': 0.5811704349501278, 'random_strength': 0.8484417235491781, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 895}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:51:32,158][0m Trial 56 finished with value: 51239.951599910404 and parameters: {'depth': 8, 'learning_rate': 0.053211637003868925, 'iterations': 406, 'l2_leaf_reg': 4.758749644001085e-08, 'border_count': 57, 'bagging_temperature': 0.6503449266061598, 'random_strength': 4.721872895464495, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 658}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:51:33,668][0m Trial 57 finished with value: 52574.66306368819 and parameters: {'depth': 5, 'learning_rate': 0.009531484148716652, 'iterations': 1060, 'l2_leaf_reg': 1.1903748482781198e-08, 'border_count': 90, 'bagging_temperature': 0.8885264074691596, 'random_strength': 4.274360230814766, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 856}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:51:44,036][0m Trial 58 finished with value: 52030.635187994965 and parameters: {'depth': 7, 'learning_rate': 0.003935887720457993, 'iterations': 1375, 'l2_leaf_reg': 2.954607578001621e-06, 'border_count': 188, 'bagging_temperature': 0.9568290769035984, 'random_strength': 2.823995568604698, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 761}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:51:53,912][0m Trial 59 finished with value: 54409.83020421169 and parameters: {'depth': 3, 'learning_rate': 0.08530272407099429, 'iterations': 2902, 'l2_leaf_reg': 3.841115253321923e-05, 'border_count': 137, 'bagging_temperature': 0.8424478448773669, 'random_strength': 4.946183884164544, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 958}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:51:59,386][0m Trial 60 finished with value: 54693.6044903092 and parameters: {'depth': 6, 'learning_rate': 0.0020766912216624903, 'iterations': 944, 'l2_leaf_reg': 0.003937055639037452, 'border_count': 146, 'bagging_temperature': 0.5283553082973061, 'random_strength': 7.012523336543247, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 713}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:52:08,406][0m Trial 61 finished with value: 49804.148454088005 and parameters: {'depth': 7, 'learning_rate': 0.016758690763188557, 'iterations': 1174, 'l2_leaf_reg': 0.0006324204605738038, 'border_count': 77, 'bagging_temperature': 0.9363584100486587, 'random_strength': 4.013071600392546, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 714}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:52:19,394][0m Trial 62 finished with value: 49253.025167755615 and parameters: {'depth': 8, 'learning_rate': 0.013079903052481589, 'iterations': 1150, 'l2_leaf_reg': 0.0001003159944413658, 'border_count': 92, 'bagging_temperature': 0.9219553188807269, 'random_strength': 4.4511395584636615, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 636}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:52:40,183][0m Trial 63 finished with value: 51021.29179348118 and parameters: {'depth': 9, 'learning_rate': 0.013128524893340205, 'iterations': 1589, 'l2_leaf_reg': 0.00014492065005647622, 'border_count': 98, 'bagging_temperature': 0.9102000314765625, 'random_strength': 4.493039481652544, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 634}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:52:51,632][0m Trial 64 finished with value: 51107.22241985215 and parameters: {'depth': 8, 'learning_rate': 0.00830574308500342, 'iterations': 1285, 'l2_leaf_reg': 0.0004064451928879252, 'border_count': 63, 'bagging_temperature': 0.7530418236044529, 'random_strength': 3.5225555878288146, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 504}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:52:52,600][0m Trial 65 finished with value: 128045.1711081206 and parameters: {'depth': 7, 'learning_rate': 0.00047871993592028486, 'iterations': 212, 'l2_leaf_reg': 0.00013181133986372114, 'border_count': 124, 'bagging_temperature': 0.8642222156460885, 'random_strength': 5.296628523964596, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 678}. Best is trial 26 with value: 46418.5230534429.[0m
