iter	Passed	Remaining
890	5319	650
891	5326	644
892	5332	638
893	5338	633
894	5344	627
895	5351	621
896	5357	615
897	5359	608
898	5366	602
899	5373	597
900	5380	591
901	5387	585
902	5393	579
903	5400	573
904	5407	567
905	5414	561
906	5421	555
907	5428	549
908	5428	543
909	5437	537
910	5443	531
911	5449	525
912	5456	519
913	5463	514
914	5469	508
915	5480	502
916	5487	496
917	5494	490
918	5496	484
919	5503	478
920	5509	472
921	5515	466
922	5522	460
923	5528	454
924	5532	448
925	5539	442
926	5545	436
927	5551	430
928	5556	424
929	5560	418
930	5564	412
931	5569	406
932	5571	400
933	5578	394
934	5584	388
935	5590	382
936	5595	376
937	5601	370
938	5606	364
939	5613	358
940	5619	352
941	5626	346
942	5632	340
943	5639	334
944	5645	328
945	5651	322
946	5658	316
947	5665	310
948	5671	304
949	5678	298
950	5678	292
951	5686	286
952	5693	280
953	5700	274
954	5706	268
955	5713	262
956	5720	257
957	5727	251
958	5734	245
959	5741	239
960	5748	233
961	5756	227
962	5762	221
963	5763	215
964	5770	209
965	5770	203
966	5777	197
967	5783	191
968	5789	185
969	5795	179
970	5802	173
971	5804	167
972	5811	161
973	5818	155
974	5825	149
975	5832	143
976	5839	137
977	5847	131
978	5853	125
979	5859	119
980	5867	113
981	5874	107
982	5880	101
983	5887	95
984	5894	89
985	5901	83
986	5908	77
987	5908	71
988	5915	65
989	5922	59
990	5929	53
991	5936	47
992	5942	41
993	5948	35
994	5955	29
995	5963	23
996	5970	17
997	5977	11
998	5984	5
999	5991	0
